AngleDeg,MAE_MVDR,RMSE_MVDR,ACC_MVDR,MAE_SRP,RMSE_SRP,ACC_SRP,MAE_WSRP,RMSE_WSRP,ACC_WSRP,MAE_GCCWLS,RMSE_GCCWLS,ACC_GCCWLS
20,10.5798319327731,13.9117869134792,0,8.84033613445378,8.86405260427918,0,5.61564299724878,5.62982684426383,0.873949579831933,5.78238173854845,5.79572870110099,0.739495798319328
30,7.8348623853211,7.92858028407993,0.055045871559633,5.02752293577982,5.04657209482406,0.889908256880734,3.94505503923398,3.97325021314003,1,4.1511486493744,4.17275865388303,1
40,5.77064220183486,6.13831402606357,0.477064220183486,3.02752293577982,3.05304780791772,1,2.28522104844019,2.31226736099317,1,2.65709060161456,2.68148009094678,1
50,4.98305084745763,5.31228189981018,0.593220338983051,3.28813559322034,3.33192060458442,1,2.9070468505523,2.93625347778973,1,3.36266581427393,3.38419601664554,1
60,3.20168067226891,3.45803169350388,0.983193277310924,3.21848739495798,3.25782832238767,1,1.76975664893134,1.80910798695167,1,1.92313211550485,2.23526322489587,0.991596638655462
70,1.075,1.56258333111123,1,2,2.94108823397055,0.991666666666667,1.74238066770626,1.79044928084977,1,1.68396229207361,1.73181739548508,1
80,1.475,2.86501890627851,0.991666666666667,1.95,3.18852107828483,0.991666666666667,0.499839632970692,2.19347625518387,0.991666666666667,0.554621709996584,2.21624348935329,0.991666666666667
90,1.02521008403361,1.17394687294792,1,0.638655462184874,0.934852704885605,1,1.16683007011156,1.1954328424279,1,1.2181778520482,1.25795343890443,1
100,1.55084745762712,1.7344954817673,1,0.872881355932203,0.943308278599619,1,1.29336801282718,1.38059334084644,1,1.36341421294468,1.4678623905779,1
110,3.36440677966102,3.53313612070886,0.991525423728814,1.72033898305085,1.80160004214709,1,1.90522046179901,1.9751778841621,1,1.89418759131729,1.96804812209438,1
120,3.83050847457627,4.456950390083,0.805084745762712,4.60169491525424,4.62766185425082,1,2.95179434447719,2.98182208314043,1,2.96530146785741,2.99563264409748,1
130,4.98305084745763,5.95320736797415,0.567796610169492,3.58474576271186,3.65341725335591,1,3.54219173746939,3.60700738667251,0.991525423728814,3.81073271764741,3.88574757456736,0.991525423728814
140,7.90082644628099,8.81490098292902,0.214876033057851,4.85123966942149,5.85993540708484,0.84297520661157,4.64611886881394,5.95965338015662,0.925619834710744,5.44866088261054,7.40255136328343,0.859504132231405
150,8.92920353982301,9.06173516760381,0.00884955752212389,6.46017699115044,6.48347115595408,0,4.8500867600924,4.88452054235403,0.938053097345133,5.04095756755989,5.07319609742926,0.920353982300885
160,9.47916666666667,9.89282849116245,0,9.65277777777778,9.93310961716756,0,5.4042275861676,5.55370127750751,0.847222222222222,5.81943656971768,6.12418116679792,0.826388888888889
